"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"3",44,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",14,516.16,21027,22,500.69,"No","Yes","Yes","Solved in Follow-up","Poor Website","5",415,314
"4",37,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",11,53.27,25239.56,6,567.66,"No","Yes","Yes","Unsolved","Poor Website","5",428,249
"5",31,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",20,113.13,24483.66,16,663.06,"No","Yes","Yes","Solved","Poor Website","5",110,465
"7",21,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",10,55.38,8982.5,28,756.21,"Yes","No","Yes","Solved in Follow-up","No reason specified","3",1018,229
"11",25,"F","Village","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",14,570.23,35119.93,8,699.7,"Yes","Yes","No","Not Applicable","Poor Product Quality","5",588,331
"12",60,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",14,55.53,41672.02,33.0243431407634,798.12,"Yes","No","No","Not Applicable","Too many ads","3",718,325
"13",11,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,41.09,44007.18,18,608.26,"Yes","No","Yes","Unsolved","Poor Customer Service","4",1065,308
"19",39,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",9,241.74,33170.16,6,551.11,"Yes","No","Yes","No Information Available","No reason specified","5",60,201
"21",33,"M","Village","No Membership","No","Without Offers","Desktop","Wi-Fi",15,49.86,44289.97,25,703.96,"Yes","No","No","Not Applicable","Poor Customer Service","4",759,342
"22",30,"M","Village","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",21,30.37,49404.86,23,630.61,"Yes","No","Yes","No Information Available","Poor Website","5",520,496
"25",43,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",17,108.3,21725.57,21,225.004427624128,"No","Yes","No","Not Applicable","Poor Website","4",870,402
"26",29,"F","Town","Silver Membership","No","Without Offers","Desktop","Fiber_Optic",18,300.38,12069.06,7,777.31,"No","Yes","No","Not Applicable","Too many ads","3",631,412
"28",20,"F","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",22,272.31,42743.44,12,687.26,"Yes","No","No","Not Applicable","Poor Product Quality","5",388,510
"31",17,"F","City","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",20,162.93,31100.95,11,633.05,"No","Yes","Yes","Solved","Too many ads","5",767,459
"34",60,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",11,537.25,1773.49,6,711.76,"Yes","Yes","No","Not Applicable","Poor Product Quality","3",182,262
"35",12,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",8,198.26,26105.24,7,721.36,"Yes","No","No","Not Applicable","Poor Customer Service","3",1035,171
"36",52,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",9,119.47,10101.48,28,158.54776452544,"Yes","No","No","Not Applicable","Poor Website","4",815,193
"37",30,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",15,68.19,21111.9,23,574.01,"Yes","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",444,338
"39",26,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",20,194.85,5912.06,13,568.34,"Yes","No","No","Not Applicable","Too many ads","5",183,476
"41",24,"M","City","Premium Membership","Yes","Without Offers","Desktop","Fiber_Optic",15,210.44,35531.98,25,745.49,"Yes","No","No","Not Applicable","Poor Product Quality","3",447,339
"43",33,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",12,394.26,34697.85,19,752.3,"Yes","No","Yes","No Information Available","Poor Website","3",332,283
"44",17,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",6,348.07,94100.72,4,824.95,"Yes","Yes","No","Not Applicable","User Friendly Website","1",742,143
"47",58,"F","Village","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",11,30.78,48080.03,10,713.62,"Yes","No","No","Not Applicable","Poor Product Quality","3",52,243
"48",41,"M","Town","Platinum Membership","No","Without Offers","Both","Fiber_Optic",13,282.87,27528.03,27,743.8,"Yes","No","No","Not Applicable","Poor Website","3",406,289
"52",38,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",8,324.75,28535.13,27,770.31,"Yes","Yes","Yes","Solved","Poor Customer Service","3",77,180
"53",20,"M","City","Silver Membership","Yes","Without Offers","Desktop","Fiber_Optic",16,237.39,25000.09,16,704.4,"No","Yes","No","Not Applicable","Poor Website","4",1069,380
"54",35,"F","Village","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",20,148.24,30984.56,11,729.04,"Yes","No","No","Not Applicable","Poor Customer Service","3",427,475
"55",43,"M","Town","Premium Membership","No","Without Offers","Both","Wi-Fi",16,773.83,9091.94,20,700.4,"No","Yes","No","Not Applicable","Poor Product Quality","3",249,381
"57",40,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",18,251.06,63416.63,12,1087.18470216471,"No","Yes","Yes","Solved in Follow-up","Products always in Stock","2",862,421
"59",48,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",12,539.49,49270.76,12,503.95,"Yes","No","No","Not Applicable","Too many ads","5",289,280
"60",35,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",12,34.48,48679.07,6,779.59,"Yes","No","No","Not Applicable","Poor Product Quality","3",965,279
"66",35,"M","Town","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",4,157.03,22975.33,18,548.1,"No","Yes","No","Not Applicable","Poor Website","5",34,74
"72",39,"M","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",13,98.57,2645.63,23,674.42,"No","Yes","No","Not Applicable","Poor Product Quality","5",395,308
"74",37,"M","Village","No Membership","Yes","Without Offers","Both","Mobile_Data",17,687.16,29101.96,18,713.82,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",593,405
"78",50,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",19,65.39,17054.69,21,353.369001485633,"No","Yes","Yes","Solved","No reason specified","3",1075,438
"83",53,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",18,172.99,9044.15,8,763.14,"Yes","No","Yes","Solved in Follow-up","Products always in Stock","1",1004,411
"85",62,"F","City","No Membership","No","Without Offers","Both","Fiber_Optic",5,304.52,47658.52,29,699.19,"No","Yes","Yes","Solved","Too many ads","4",444,113
"91",16,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",9,355.31,20457.22,5,1233.76972723539,"Yes","Yes","Yes","Solved in Follow-up","Poor Product Quality","3",55,210
"92",25,"F","Village","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",11,31.88,35414.54,20,788.67,"No","Yes","No","Not Applicable","No reason specified","3",227,249
"94",24,"F","Town","Premium Membership","Yes","Without Offers","Desktop","Fiber_Optic",5,181.34,43554.96,1,728.69,"Yes","No","Yes","Solved in Follow-up","Products always in Stock","2",124,100
"95",48,"M","City","No Membership","Yes","","Desktop","Mobile_Data",8,960.62,13954.02,17,631.15,"No","Yes","Yes","Solved","Poor Customer Service","4",1010,174
"96",56,"M","Village","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",24,48.59,28071.04,16,533.05,"No","Yes","Yes","Solved","Poor Website","5",131,558
"98",23,"F","Town","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",21,727.69,4919.72,13,758.83,"Yes","Yes","No","Not Applicable","Too many ads","3",514,494
"102",23,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",10,934.354219849904,11955.94,24,630.8,"No","Yes","Yes","Unsolved","Poor Customer Service","4",924,233
"103",52,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",4,826.51,14877.24,25,522.61,"Yes","No","No","Not Applicable","Poor Customer Service","5",48,76
