age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,join_date,Days_from,time_from_last_visit,churn_risk_score
44,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,516.16,21027,22,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,2016-11-11,415,314,3
37,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,53.27,25239.56,6,567.66,No,Yes,Yes,Unsolved,Poor Website,2016-10-29,428,249,3
31,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,113.13,24483.66,16,663.06,No,Yes,Yes,Solved,Poor Website,2017-09-12,110,465,3
21,M,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,55.38,8982.5,28,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,2015-03-19,1018,229,2
25,F,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,14,570.23,35119.93,8,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,2016-05-22,588,331,3
60,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,55.53,41672.02,33.02434314,798.12,Yes,No,No,Not Applicable,Too many ads,2016-01-13,718,325,2
11,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,41.09,44007.18,18,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,2015-01-31,1065,308,3
39,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,241.74,33170.16,6,551.11,Yes,No,Yes,No Information Available,No reason specified,2017-11-01,60,201,3
33,M,Village,No Membership,No,Without Offers,Desktop,Wi-Fi,15,49.86,44289.97,25,703.96,Yes,No,No,Not Applicable,Poor Customer Service,2015-12-03,759,342,3
30,M,Village,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,30.37,49404.86,23,630.61,Yes,No,Yes,No Information Available,Poor Website,2016-07-29,520,496,3
43,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,108.3,21725.57,21,225.0044276,No,Yes,No,Not Applicable,Poor Website,2015-08-14,870,402,3
29,F,Town,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,18,300.38,12069.06,7,777.31,No,Yes,No,Not Applicable,Too many ads,2016-04-09,631,412,2
20,F,Village,No Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,272.31,42743.44,12,687.26,Yes,No,No,Not Applicable,Poor Product Quality,2016-12-08,388,510,3
17,F,City,No Membership,Yes,Without Offers,Desktop,Fiber_Optic,20,162.93,31100.95,11,633.05,No,Yes,Yes,Solved,Too many ads,2015-11-25,767,459,3
60,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,11,537.25,1773.49,6,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,2017-07-02,182,262,2
